Name,Page URL,Image URL,Bio,Instagram,Instagram Followers,TikTok,TikTok Followers
AMELIARANNE EKENASIO,https://www.liquorice.co.nz/talent/ameliaranne-ekenasio-sports-fitness-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1634687796296-WNQ3SOSZW2Z153UM0NZQ/Ameliaranne+Ekenasio+B%26W_resized.jpg,"As one of the most recognised faces of netball, Ameliaranne takes a pragmatic approach to lifestyle favouring cleaner and more sustainable options that fit her extremely busy and active juggle. A qualified yoga teacher, mum of two, business owner and skills-based netball trainer, it’s no surprise she has become proficient in speaking on resilience, determination and the road back to wearing the black dress after pregnancy. Her relatability and real talk sets an achievable path for us all to follow on reading, researching, learning and bettering yourself across all facets of life. To book Ameliaranne or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/ameliaranne_ekenasio/,39k,https://www.tiktok.com/@ameliaranneekenasio,7.5k
DAISY CLEMENTINE SMITH,https://www.liquorice.co.nz/daisy-clementine-smith/model/beauty-fashion-lifestyle/influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1630c2b7-bd46-48a1-8052-04379f0e47ed/Daisy+smith+%281%29.jpg,"A hype girl for what she has dubbed ""divine femininity”, American Daisy Clementine Smith (fromthatfamous Smith family) wears many hats oh so effortlessly and is all about sharing what she knows. A model by day, her off-duty style serves as both aspiration and inspiration, offering a wholesome mix of beauty and hair tips (spoiler alert - hers is perfection), dialling up ideas for styling her new home, and vlogs of her adventures adapting to life in New Zealand. Whether it’s a mukbang of a meat pie, taking the bamboozle out of a beauty buy, or mastering matcha making, Daisy’s content blends practical advice with an inviting sense of curiosity. DAISY CLEMENTINE IG To book Daisy or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/daisyclementine/,189k,https://www.tiktok.com/@daisyclementine,13k
COURTENAY LOUISE,https://www.liquorice.co.nz/courtenay-louise/actress-fashion-beauty-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/318fb4d6-662a-44dd-8569-2c2be9742a95/Courtenay+Louise+B%26W.jpg,"Hectic filming schedules and a baby on board mean she opts for efficiency hacks that serve dual purposes in most aspects of her life, whether it’s food boxes, multi-purpose skincare or the latest activewear that works just as hard out running as it does running errands. To book Courtenay or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/courtenaylouise_/,21k,https://www.tiktok.com/@courtenaylouise_,38k
CHARNZE NICOLL-KLOKSTAD,https://www.liquorice.co.nz/charnze-nicoll-klockstad/athlete/rugby-league/family/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/5f3a3943-7563-4af2-a6b7-4e1a40b85bab/Live+headshot+%283%29.png,"‘Better than yesterday’ is the guiding principle of proud Warrior Charnze Nicoll-Klokstad, who tempers his ability to regularly polish off a full tray of Griffin's bikkies with a structured training regime that keeps his abs and Bronco in check. With deep-rooted priorities in God, family and rugby league, his story is the epitome of dedication and passion both on and off the field. At home it's all about spending quality time with his wife and three sons, who have an impressive collective knowledge in all things anime, cartoons and Disney. At work he’s recently reached the milestone of his 100th NRL game, with a career punctuated by representation at the international level, wearing the jerseys of the Cook Islands and New Zealand with pride. His exceptional performance, culminating in a Man of the Match award during the Kiwis' historic victory over the Kangaroos in the 2023 Pacific Championship final, underscores his significant impact on the sport. To book Charnze or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/charnzenicollklokstad/,86k,,
DALLIN WATENE-ZELEZNIAK,https://www.liquorice.co.nz/dallin-watene-zelezniak/athlete/rugby-league/family/lifestyle-influencer-1,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/ce05bffa-81d8-43f2-a715-23561da4b3a1/LIQ+-+WEB+HEADSHOTS+%2837%29+%281%29.png,"With a whakapapa in rugby league that spans back generations and a knack for throwing down acrobatic tries, it's interesting that the smiling assassin that is Dallin Watene-Zelezniak identifies as a lot of other things before being a footy player. While you’d be forgiven for thinking he’s a hair model, first and foremost he’s a family man, feeling most at home with his wife and three kids. A proud nerd (with all the gear to go with it), entrepreneur with three businesses to his name and a competitive nature that sees him challenging all around him to a board game battle, his easy-going and open book nature makes him an absolute crowd favourite as Kiwis claim it’s ‘our year’ once again. DALLIN WATENE-ZELEZNIAK IG To book Dallin or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/dallinzelezniak/,91k,https://www.tiktok.com/@dallinzelezniak?lang=en,47k
DAN MACK,https://www.liquorice.co.nz/dan-mack/travel-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/3fa0b020-d8aa-437a-a121-6d691e69ea04/Updated+headshot_Dan+Mack.jpg,"‘Show me; don’t tell me’ could be Dan’s life motto, with an innate knack for placing products in picturesque spots. Creating ad quality content that fuels travel plans, to do lists and (let’s be honest) budget blow outs is his modus operandi, and he’s worked with some of the best brands going to do so. To book Dan or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/d.mack/,168k,https://www.tiktok.com/@d.mack0,29k
DAVE LETELE,https://www.liquorice.co.nz/dave-letele-buttabean/health-fitness-mc-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/b57283b9-9863-4bcf-9a8e-9185e180e413/HEADSHOT.png,"Motivating people to become their best selves, one step at a time, New Zealand Local Hero of the Year Dave “Brown Buttabean” Letele is a true changemaker in his community and of his own circumstance. Coined “businessman to gangster, accountant to footy star, boxer to Samaritan”, Dave’s leadership journey started when he lost over 100 kgs and was inspired to help others achieve their goals. He has since founded The BBM Movement, a not-for-profit organisation that provides free fitness and nutrition coaching to people struggling with obesity or mental health issues. With street smarts and connections in droves, his power now goes far beyond these worthy topics as an intelligent, compassionate and considered ally to the underprivileged and the marginalised. Demanding credibility whether it be the boardroom or a gang funeral, his impact on the communities he serves is undeniable.",https://www.instagram.com/daveletele_/,464k,https://www.tiktok.com/@daveletele,94k
NIUMATA DJ FORBES,https://www.liquorice.co.nz/talent/dj-forbes-sports-all-blacks-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1633493233364-4JU95N46L58PSHGVB8BM/DJ_BW.jpg,"From captaining the AB Sevens to championing NZ athletes at the Olympics, at home you’ll find sports influencer DJ tinkering in his man cave cum home gym, spinning tunes (yes, DJ can DJ) and balancing the family’s love for donuts with an active lifestyle. Following on from his many sporting strides and making use of his Bachelor of Applied Management and a Master of Professional Practice, learning and applying techniques on how to cultivate a strong culture and create a leadership framework are DJ’s reflections from his career that he is using to help build other high-performing businesses and teams through his coaching consulting. To book DJ or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/djforbes4/,33.5k,,
DU’PLESSIS KIRIFI,https://www.liquorice.co.nz/duplessis-kirifi-sports-fitness-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/87397917-249e-4592-a807-6a080dae50aa/2.png,"A fan favourite and a standout of the very cool new guard changing the perception of men’s sport, Du'Plessis Kirifi is a shining example of a rugby player who cares about more than just winning games. He has spoken candidly about the importance of taking care of one's mental well-being, especially in the high-pressure world of professional sports. And while rarking up the Hurricanes boys with hot takes and pranks features highly on his agenda, off the field, his smarts and softer side is captured via his passion for photography, colourful interiors, cooking and cleaning up after his dogs and fiancée (sorry Mila!). To book Du’Plessis or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/deepblueseeee/,71.8k,,
ELLIE FITZGERALD,https://www.liquorice.co.nz/talent/ellie-fitzgerald-comedy-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/f057dda6-3f8f-4a74-9e9c-914489e1fcbc/Ellie+Haines+Edited-22BW_small.jpg,"‘Nobody is actually looking’ is Ellie’s motto to get us all forgetting about what we perceive people think so we can get on living, laughing and loving (said with tongue firmly in cheek). Observational humour, documenting the everyday realities so much of social hides away as well as talking to the issues big and miniscule are Ellie’s jam, and as a result she offers a very entertaining internet friend to her fans. Her reviews and real world recommendations are saved, shared and acted upon, whether it’s what to wear, what to watch on the box or spreading a self-love message through one of her viral instructional videos. To book Ellie or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/lovingelliesbelly/,91k,https://www.tiktok.com/@lovingelliesbelly,18.6k
